Elev,  Lat,  Long, Mdl,  Tmp,  RH , Wind,   PPT ,  ERC,   BI,   SC, KBDI,   HUN,  THOU,   TEN,  STL, ADJ,  I   
2797, 32.8, 116.6, 7B ,   99,   32,   11,    .00,   62,  137,   66,  535,     7,     7,     5,   3 ,  H , 65   
1835, 33.0, 116.8, 7B ,   94,   39,   13,    .00,   32,   67,   27,  496,     8,    11,     7,   4 ,  H , 32   
 255, 33.0, 117.0, 7B ,   97,   39,    7,    .00,   29,   34,    7,  557,    14,    14,     7,   2 ,  L , 19   
 300, 32.7, 117.1, 7B ,   85,   62,    8,    .00,   15,   26,    7,  361,    14,    14,    10,   1 ,  L , 10   
 810, 33.4, 117.5, 7F ,   89,   44,    9,    .00,   12,   24,    7,  376,    13,    15,     9,   3 ,  M , 22   
 245, 33.2, 117.3, 7F ,   82,   64,    9,    .00,    5,   14,    6,  292,    17,    17,    12,   1 ,  L , 12   
 781, 32.9, 116.0, 7T ,  110,   23,    8,    .00,   20,   64,   39,  655,     5,     3,     4,   5 ,  V , 49   
2185, 39.3, 122.6, 7B ,   99,   12,    7,    .00,   93,  143,   47,  773,     7,     6,     3,     ,    , 78   
2287, 36.2, 120.5, 7A ,   94,   14,    4,    .00,    3,   29,   42,   28,     9,    15,     4,     ,    , 30   
2162, 39.4, 121.4, 7G ,   94,   11,    7,    .00,   90,   86,   16,  575,     5,     6,     3,     ,    , 68   
5940, 40.7, 108.8, 7G ,   91,   14,    7,    .00,   99,   74,   11,  616,     3,     5,     3,   5 ,  V , 50   
5960, 40.5, 108.9, 7G ,   90,   13,    9,    .00,  103,   86,   14,  581,     3,     4,     3,   5 ,  V , 55   
7240, 40.7, 107.8, 7G ,   86,   17,   11,    .00,   94,   91,   17,  507,     4,     5,     3,   5 ,  V , 63   
6720, 40.3, 108.5, 7G ,   90,   14,    5,    .00,  100,   65,    8,  310,     3,     5,     3,   5 ,  V , 43   
8416, 40.5, 106.7, 7G ,   83,   17,   11,    .00,   88,   90,   18,  304,     4,     7,     3,   5 ,  V , 63   
9750, 40.3, 106.2, 7G ,   75,   20,    6,    .00,   80,   63,    9,  174,     5,     8,     4,   5 ,  V , 37   
8991, 40.8, 106.4, 7G ,   77,   20,    3,    .00,   79,   46,    5,  214,     5,     8,     5,   5 ,  V , 24   
8500, 40.2, 105.8, 7G ,   79,   18,    9,    .00,   60,   63,   13,  315,     9,    11,     5,   5 ,  V , 65   
8420, 40.2, 106.3, 7G ,   84,   14,   11,    .00,   85,   90,   19,  338,     5,     7,     3,   5 ,  V , 64   
8941, 40.0, 106.6, 7G ,   80,   19,    7,    .00,   63,   58,   10,  251,     8,    11,     5,   5 ,  V , 40   
7693, 39.9, 106.5, 7G ,   88,   12,    8,    .00,   88,   80,   14,  480,     5,     7,     3,   5 ,  V , 59   
0201, 39.8, 106.0, 7G ,   76,   17,   14,    .00,   83,   97,   23,  232,     5,     7,     4,   5 ,  V , 62   
8233, 40.7, 105.5, 7G ,   75,   26,    7,    .04,   72,   61,   10,  235,     7,     9,     6,   5 ,  V , 29   
7892, 40.3, 105.5, 7G ,   76,   28,    8,    .00,   69,   62,   11,  344,     7,     9,     6,   4 ,  H , 29   
6160, 40.5, 105.2, 7G ,   86,   21,    5,    .00,   77,   58,    8,  341,     6,     8,     5,   5 ,  V , 33   
5591, 40.8, 105.0, 7G ,   85,   24,   12,    .00,   70,   76,   16,  595,     7,     9,     5,   5 ,  V , 42   
6733, 40.0, 105.3, 7G ,   88,   21,    7,    .00,   79,   67,   11,  456,     5,     8,     4,   5 ,  V , 38   
4850, 40.6, 104.3, 7C ,   93,   19,    7,    .00,   20,   40,   14,  448,     8,    10,     4,   3 ,  H , 49   
4066, 40.7, 103.2, 7C ,   96,   17,    6,    .02,   20,   34,   10,  436,    10,    11,     5,   3 ,  M , 45   
3640, 39.6, 102.1, 7C ,   94,   21,    7,    .00,   19,   36,   11,  426,    10,    12,     5,   3 ,  M , 43   
6672, 40.0, 108.3, 7G ,   93,   12,    2,    .00,  101,   58,    6,  407,     3,     5,     3,   5 ,  V , 41   
8685, 40.0, 107.3, 7G ,   84,   15,    6,    .00,   85,   68,   10,  373,     4,     7,     3,   5 ,  V , 46   
7320, 39.7, 108.3, 7G ,   90,   14,    7,    .00,   99,   89,   16,  383,     3,     5,     3,   5 ,  V , 65   
6290, 39.9, 108.8, 7G ,   95,   12,    6,    .00,  104,   78,   12,  495,     3,     4,     2,   5 ,  V , 59   
6120, 39.5, 107.7, 7H ,   95,   11,    6,    .00,   57,   34,    3,  674,     3,     5,     3,   5 ,  V , 60   
8382, 39.3, 107.0, 7F ,   89,   13,    9,    .00,   53,  111,   49,  433,     4,     6,     3,   5 ,  E , 85   
7448, 39.4, 108.8, 7G ,   92,   13,    6,    .00,  100,   85,   14,  367,     3,     5,     3,   5 ,  V , 60   
8793, 39.5, 107.4, 7F ,   88,   14,   10,    .00,   52,  137,   77,  372,     4,     6,     3,   5 ,  E , 82   
9404, 39.7, 107.6, 7G ,   76,   15,    8,    .00,   88,   73,   12,  238,     4,     7,     3,   5 ,  V , 46   
9068, 39.6, 106.4, 7G ,   79,   15,    8,    .00,   79,   72,   13,  252,     5,     8,     4,   5 ,  V , 46   
7412, 39.6, 106.9, 7H ,   89,   12,    4,    .00,   53,   33,    4,  578,     4,     6,     3,   5 ,  V , 57   
7834, 39.9, 106.9, 7G ,   84,   14,   12,    .00,   87,   91,   19,  576,     5,     7,     4,   5 ,  V , 60   
9578, 39.5, 105.9, 7G ,   80,   15,   10,    .00,   69,   78,   17,  242,     6,    11,     3,   5 ,  E , 67   
8081, 39.6, 105.4, 7G ,   80,   21,   10,    .00,   69,   72,   15,  312,     6,    10,     5,   5 ,  V , 42   
7973, 39.7, 105.5, 7G ,   77,   20,   21,    .00,   74,  112,   36,  423,     6,     9,     5,   5 ,  V , 61   
9380, 39.8, 105.5, 7G ,   73,   27,    3,    .00,   72,   47,    5,  211,     6,     9,     6,   5 ,  V , 21   
7982, 39.3, 105.3, 7G ,   84,   18,    3,    .00,   74,   50,    6,  183,     5,     9,     4,   3 ,  M , 30   
7504, 39.7, 105.2, 7G ,   83,   21,   10,    .00,   80,   80,   16,  251,     5,     8,     4,   5 ,  V , 49   
5257, 39.8, 104.8, 7L ,   89,   19,   13,    .00,    5,   61,  129,  630,     6,     8,     4,   4 ,  V , 58   
6710, 39.2, 108.3, 7H ,   91,   12,    2,    .00,   56,   26,    2,  580,     3,     5,     3,   5 ,  V , 40   
7840, 38.7, 108.5, 7T ,   89,   12,    7,    .00,   21,   63,   34,  555,     4,     6,     3,   4 ,  V , 52   
6796, 38.9, 108.9, 7T ,   91,   13,    6,    .00,   21,   55,   26,  499,     3,     4,     3,   4 ,  H , 44   
6267, 38.8, 107.7, 7G ,   98,   10,    7,    .00,   99,   91,   17,  616,     3,     5,     2,   5 ,  E , 72   
0420, 38.9, 106.6, 7G ,   78,   13,   10,    .00,   73,   79,   17,   99,     6,    10,     4,   4 ,  V , 59   
9400, 38.3, 107.0, 7G ,   82,   14,    3,    .00,   80,   49,    5,  350,     5,     8,     3,   4 ,  H , 33   
8727, 38.8, 106.2, 7G ,   87,   10,    9,    .00,   77,   80,   16,  206,     6,     9,     3,   4 ,  V , 67   
8094, 38.9, 105.3, 7G ,   86,   15,    3,    .00,   62,   45,    6,  380,     9,    11,     4,   3 ,  M , 35   
9515, 39.0, 106.0, 7G ,   76,   16,   11,    .00,   77,   84,   18,  248,     6,     9,     4,   4 ,  V , 57   
0200, 39.4, 105.7, 7G ,   80,   14,    5,    .00,   70,   65,   11,  175,     6,    10,     4,   3 ,  H , 49   
0656, 39.3, 105.5, 7G ,   74,   20,    3,    .00,   64,   45,    6,   99,     7,    11,     5,   3 ,  M , 28   
7546, 39.1, 105.2, 7G ,   84,   16,   20,    .00,   80,  120,   38,  579,     5,     8,     4,   5 ,  E , 77   
8683, 39.2, 105.1, 7G ,   82,   17,    4,    .00,   73,   54,    7,  380,     6,     9,     4,   3 ,  M , 37   
6158, 39.3, 104.7, 7G ,   98,   12,    8,    .00,   76,   75,   14,  449,     6,     9,     3,   4 ,  V , 63   
7067, 39.4, 105.0, 7G ,   90,   16,    6,    .00,   82,   67,   11,  314,     5,     8,     4,   3 ,  H , 47   
8489, 39.1, 105.1, 7G ,   84,   16,   11,    .00,   71,   80,   18,  458,     7,    10,     4,   3 ,  H , 64   
6450, 38.6, 104.8, 7G ,   86,   21,   10,    .00,   70,   70,   13,  496,     7,    10,     5,   3 ,  M , 42   
9207, 38.9, 104.9, 7G ,   76,   22,   10,    .00,   64,   65,   12,  280,     8,    10,     5,   3 ,  M , 40   
7895, 38.1, 108.2, 7G ,   88,   13,    7,    .00,   83,   73,   12,  290,     4,     8,     3,   4 ,  V , 54   
7220, 38.5, 108.2, 7G ,   91,   11,    5,    .00,   97,   65,    8,  557,     3,     5,     2,   5 ,  V , 48   
8446, 38.5, 107.6, 7G ,   90,   12,    6,    .00,   84,   70,   11,  366,     5,     8,     3,   4 ,  V , 53   
5860, 38.2, 108.5, 7G ,   94,   14,    6,    .00,   95,   74,   11,  617,     3,     5,     3,   4 ,  V , 52   
8088, 38.4, 109.0, 7G ,   89,   14,    3,    .00,   92,   53,    6,  348,     4,     6,     3,   4 ,  H , 38   
6305, 38.5, 105.2, 7G ,   93,   17,    7,    .00,   79,   69,   12,  526,     5,     8,     4,   4 ,  V , 49   
7410, 38.3, 105.4, 7G ,   87,   15,    7,    .00,   66,   62,   11,  544,     8,    10,     4,   3 ,  H , 48   
9000, 38.4, 105.9, 7G ,   83,   13,   10,    .00,   75,   81,   17,  208,     6,     9,     3,   3 ,  H , 67   
5883, 38.2, 104.9, 7G ,   92,   17,   10,    .00,   80,   82,   17,  577,     5,     8,     4,   3 ,  H , 59   
1078, 38.2, 106.5, 7G ,   75,   17,    7,    .00,   72,   65,   11,   60,     6,    10,     4,   5 ,  V , 43   
8993, 38.3, 106.5, 7G ,   81,   15,   10,    .00,   79,   82,   17,  504,     5,     8,     4,   3 ,  H , 58   
9053, 38.0, 105.0, 7G ,   78,   23,    6,    .00,   64,   56,    9,  218,     7,    11,     5,   4 ,  H , 38   
8201, 37.6, 108.5, 7G ,   86,   16,    6,    .00,   78,   61,    9,  305,     5,     8,     4,   4 ,  H , 42   
0430, 37.7, 106.7, 7G ,   78,   14,    7,    .01,   59,   60,   11,   85,    10,    12,     4,   3 ,  H , 51   
8279, 37.7, 105.5, 7G ,   88,   14,    4,    .00,   76,   53,    7,  274,     6,     9,     3,   3 ,  M , 42   
8930, 37.8, 105.2, 7G ,   82,   19,   12,    .00,   67,   78,   18,  417,     6,    11,     4,   3 ,  H , 55   
7126, 37.1, 108.4, 7G ,   87,   17,    2,    .00,   87,   45,    4,  432,     4,     7,     4,   4 ,  H , 26   
7820, 37.2, 108.4, 7G ,   79,   25,    5,    .00,   81,   54,    7,  305,     5,     7,     5,   3 ,  M , 25   
6420, 37.4, 108.8, 7G ,   91,   15,    4,    .00,   94,   58,    7,  502,     4,     5,     3,   4 ,  H , 38   
7920, 37.9, 108.8, 7G ,   90,   11,    4,    .00,   83,   57,    7,  134,     4,     8,     2,   3 ,  H , 47   
7380, 37.0, 107.7, 7G ,   82,   21,    4,    .00,   83,   51,    6,  388,     5,     7,     5,   3 ,  M , 27   
0341, 37.4, 107.7, 7G ,   70,   29,    7,    .02,   65,   58,   10,   65,     8,    10,     6,   3 ,  M , 29   
8254, 37.3, 107.9, 7G ,   78,   29,    3,    .01,   72,   47,    5,  261,     6,     8,     6,   3 ,  M , 21   
7460, 37.2, 107.3, 7G ,   87,   18,    6,    .07,   81,   66,   10,  390,     6,     7,     4,   3 ,  M , 43   
8491, 37.1, 107.3, 7G ,   84,   21,    5,    .10,   80,   60,    8,  290,     6,     8,     4,   3 ,  M , 36   
9230, 37.1, 106.8, 7G ,   81,   22,    5,    .00,   67,   54,    8,  141,     7,    10,     5,   3 ,  M , 34   
8651, 37.0, 106.2, 7G ,   83,   16,   10,    .00,   73,   79,   17,  334,     7,     9,     4,   3 ,  H , 57   
5422, 37.5, 104.0, 7L ,   90,   20,   10,    .00,    3,   36,   63,  543,     6,     9,     4,   3 ,  M , 43   
8174, 37.0, 104.9, 7G ,   86,   17,    5,    .00,   73,   54,    7,  168,     6,    10,     4,   3 ,  M , 41   
4372, 37.0, 102.6, 7L ,   90,   31,   17,    .00,    3,   32,   66,  556,     9,    12,     6,   2 ,  M , 34   
9694, 39.1, 106.3, 7G ,   78,   13,   10,    .00,   69,   74,   15,  164,     7,    10,     4,   5 ,  V , 57   
  15, 30.3,  87.1, 8D ,   90,   62,    6,    .20,   43,   37,    5,  514,    16,    18,     8,   2 ,  L , 10   
  15, 30.1,  84.1, 8D ,   86,   70,    5,    .01,   55,   68,   16,  697,    17,    24,    12,   3 ,  M , 10   
  50, 30.0,  84.4, 8D ,   88,   65,    4,    .65,   34,   30,    4,  283,    18,    20,    12,   2 ,  L ,  5   
  15, 29.3,  83.0, 8G ,   92,   54,    4,    .13,   21,   15,    2,  324,    19,    21,    11,   2 ,  L ,  5   
  16, 29.0,  81.3, 8G ,   90,   61,    3,   1.45,    4,    0,    0,  149,    18,    21,    35,   1 ,  L ,  0   
 141, 27.4,  81.3, 8G ,   82,   80,    4,    .00,   16,   21,    4,  260,    16,    20,    16,   2 ,  L ,  2   
 -17, 27.5,  81.2, 8G ,   82,   82,    4,    .39,   15,   15,    2,  375,    17,    20,    17,   2 ,  L ,  1   
  15, 27.1,  81.0, 7D ,   75,   94,    3,    .03,    6,    9,    2,  544,    19,    21,    22,   1 ,  L ,  0   
  17, 26.4,  80.4, 8G ,   82,   78,    7,    .02,   14,   25,    7,  459,    17,    21,    16,   2 ,  L ,  4   
  10, 26.4,  82.1, 8G ,   78,   83,    2,    .38,   15,   14,    2,  217,    17,    20,    17,   2 ,  L ,  1   
  15, 26.3,  80.9, 7D ,   90,   60,    4,   1.73,    0,    0,    0,   37,    19,    22,    35,   1 ,  L ,  0   
  15, 26.2,  81.2, 8N ,   77,   89,   10,    .07,   18,   41,   17,  466,    18,    21,    20,   2 ,  L ,  1   
   7, 25.8,  81.3, 8N ,   92,   56,    8,    .00,   28,   86,   52,  377,    17,    23,    11,   3 ,  M , 17   
   7, 25.9,  80.9, 8N ,   92,   56,    5,    .21,   26,   41,   11,  337,    18,    22,    11,   2 ,  L ,  6   
  15, 26.1,  81.3, 8G ,   87,   82,    2,    .01,   19,   15,    2,  435,    18,    21,    15,   3 ,  M ,  2   
  15, 26.1,  81.4, 8G ,   86,   72,    4,    .00,   18,   16,    2,  407,    17,    22,    14,   3 ,  M ,  3   
  10, 24.7,  81.3, 8G ,   92,   61,    5,    .30,   29,   20,    2,  369,    17,    18,    11,   3 ,  M ,  6   
   5, 25.3,  80.6, 8N ,   92,   59,    7,    .18,   26,   38,    9,  501,    18,    21,    11,   2 ,  L ,  5   
   5, 25.6,  80.5, 8N ,   89,   68,    3,    .36,   25,   30,    6,  483,    16,    21,    12,   2 ,  L ,  4   
  14, 28.2,  80.7, 7G ,   87,   66,    6,    .65,   17,   21,    4,  320,    19,    22,    12,   3 ,  M ,  9   
  16, 29.4,  81.3, 7G ,   86,   75,    9,    .09,    0,    0,    0,  132,    21,    23,    35,   1 ,  L ,  0   
   3, 25.4,  80.9, 7G ,   87,   66,    5,    .00,   27,   25,    4,  251,    13,    20,    11,   3 ,  M ,  8   
  83, 28.5,  81.3, 7G ,   84,   74,    5,    .00,   23,   23,    4,  196,    17,    20,    12,   3 ,  M ,  9   
  25, 29.8,  81.4, 7G ,   86,   75,    9,    .09,    0,    0,    0,  131,    21,    23,    35,   1 ,  L ,  0   
  32, 28.7,  81.2, 7G ,   84,   74,    5,    .00,   23,   23,    4,  200,    17,    20,    12,   3 ,  M ,  9   
  29, 29.0,  81.1, 7G ,   84,   77,    1,    .30,   15,   11,    1,  424,    20,    22,    13,   2 ,  L ,  4   
 126, 30.7,  87.3, 7G ,   85,   70,    7,    .00,   18,   20,    4,  338,    18,    22,    11,   3 ,  M ,  9   
   6, 29.8,  84.8, 7G ,   85,   75,    3,    .59,   18,   15,    2,  507,    19,    21,    12,   3 ,  M ,  6   
 128, 30.8,  85.8, 7G ,   83,   75,    2,   2.04,    7,    0,    0,  296,    18,    19,    35,   1 ,  L ,  0   
  91, 30.2,  84.8, 7G ,   81,   80,    3,   1.53,    5,    0,    0,  446,    18,    20,    35,   1 ,  L ,  0   
 163, 30.7,  86.5, 7G ,   86,   70,    9,    .07,   28,   34,    7,  702,    16,    18,    11,   3 ,  M , 13   
 121, 30.7,  87.0, 7G ,   85,   70,    7,    .00,   18,   20,    4,  346,    18,    22,    11,   3 ,  M ,  9   
   5, 30.1,  84.4, 7G ,   81,   80,    3,   1.53,    5,    0,    0,  453,    18,    20,    35,   1 ,  L ,  0   
 201, 30.6,  86.1, 7G ,   83,   83,    6,    .78,    4,    0,    0,  242,    19,    21,    35,   1 ,  L ,  0   
 118, 30.6,  85.6, 7G ,   84,   74,    5,    .40,   17,   20,    4,  333,    19,    23,    12,   2 ,  L ,  8   
  45, 30.2,  85.6, 7G ,   84,   74,    5,    .40,   17,   20,    4,  364,    19,    23,    12,   2 ,  L ,  8   
 115, 30.4,  85.1, 7G ,   83,   75,    2,   2.04,    7,    0,    0,  303,    18,    19,    35,   1 ,  L ,  0   
 159, 30.5,  84.6, 7G ,   81,   80,    3,   1.53,    5,    0,    0,  424,    18,    20,    35,   1 ,  L ,  0   
  16, 29.9,  85.2, 7G ,   85,   75,    3,    .59,   18,   15,    2,  541,    19,    21,    12,   3 ,  M ,  6   
 131, 30.7,  85.2, 7G ,   83,   75,    2,   2.04,    7,    0,    0,  279,    18,    19,    35,   1 ,  L ,  0   
  65, 29.9,  81.8, 7G ,   85,   68,    7,   1.01,   23,   25,    4,  566,    19,    19,    12,   3 ,  M , 10   
  28, 29.6,  83.1, 7G ,   87,   69,    4,    .02,   21,   18,    2,  582,    18,    20,    12,   3 ,  M ,  8   
  13, 30.3,  81.6, 7G ,   87,   62,    9,    .00,   24,   32,    7,  212,    18,    20,    11,   3 ,  M , 15   
 113, 28.7,  81.7, 7G ,   85,   78,    4,    .24,   14,   13,    2,  432,    21,    21,    16,   2 ,  L ,  2   
  18, 30.6,  81.8, 7G ,   87,   62,    9,    .00,   24,   32,    7,  212,    18,    20,    11,   3 ,  M , 15   
  30, 28.7,  82.0, 7G ,   85,   78,    4,    .24,   14,   13,    2,  447,    21,    21,    16,   2 ,  L ,  2   
 114, 30.4,  83.8, 7G ,   81,   80,    3,   1.53,    5,    0,    0,  432,    18,    20,    35,   1 ,  L ,  0   
  38, 29.9,  83.1, 7G ,   86,   70,    2,    .00,   22,   18,    2,  510,    18,    21,    12,   3 ,  M ,  7   
 121, 30.4,  84.2, 7G ,   81,   80,    3,   1.53,    5,    0,    0,  453,    18,    20,    35,   1 ,  L ,  0   
 104, 30.4,  83.4, 7G ,   86,   70,    2,    .00,   22,   18,    2,  524,    18,    21,    12,   3 ,  M ,  7   
  73, 30.0,  83.5, 7G ,   86,   70,    2,    .00,   22,   18,    2,  524,    18,    21,    12,   3 ,  M ,  7   
 116, 30.3,  82.2, 7G ,   88,   64,    3,    .00,   18,   15,    2,  139,    18,    22,    11,   3 ,  M ,  7   
  99, 29.9,  82.1, 7G ,   88,   64,    3,    .00,   18,   15,    2,  130,    18,    22,    11,   3 ,  M ,  7   
 134, 30.2,  82.6, 7G ,   86,   58,    3,    .35,   16,   15,    2,  537,    21,    22,    12,   2 ,  L ,  6   
 103, 30.4,  82.9, 7G ,   85,   75,    3,    .26,   21,   16,    2,  324,    18,    20,    12,   3 ,  M ,  6   
 105, 30.2,  82.9, 7G ,   85,   75,    3,    .26,   21,   16,    2,  324,    18,    20,    12,   3 ,  M ,  6   
 127, 30.0,  82.3, 7G ,   85,   73,    5,    .13,   20,   19,    3,  564,    19,    20,    12,   3 ,  M ,  7   
 153, 29.6,  82.3, 7G ,   84,   74,    5,    .00,   24,   23,    4,  519,    18,    19,    12,   3 ,  M ,  8   
  88, 28.8,  82.4, 7G ,   84,   72,    7,    .01,   22,   22,    4,  516,    18,    19,    13,   3 ,  M ,  6   
  86, 29.7,  82.7, 7G ,   87,   69,    4,    .02,   21,   18,    2,  556,    18,    20,    12,   3 ,  M ,  8   
  90, 28.5,  82.4, 7G ,   83,   82,    5,    .59,   11,   14,    3,  298,    21,    22,    18,   2 ,  L ,  2   
  32, 29.3,  82.7, 7G ,   87,   69,    4,    .02,   21,   18,    2,  582,    18,    20,    12,   3 ,  M ,  8   
  72, 29.2,  82.0, 7G ,   83,   80,    1,    .03,   17,   12,    1,  364,    20,    21,    13,   3 ,  M ,  4   
  74, 28.3,  82.3, 7G ,   83,   82,    5,    .59,   11,   13,    2,  298,    21,    22,    18,   2 ,  L ,  1   
  19, 29.6,  81.7, 7G ,   85,   68,    7,   1.01,   23,   25,    4,  563,    19,    19,    12,   3 ,  M , 10   
  27, 26.9,  81.8, 7G ,   77,   94,   11,    .04,    2,    0,    0,  123,    20,    22,    35,   1 ,  L ,  0   
  52, 27.1,  81.8, 7G ,   82,   81,    5,    .00,   20,   18,    3,  516,    18,    20,    13,   3 ,  M ,  5   
  82, 27.4,  81.8, 7G ,   82,   81,    5,    .00,   20,   18,    3,  528,    18,    20,    13,   3 ,  M ,  5   
  68, 27.9,  82.3, 7G ,   77,   86,    4,    .32,   17,   16,    2,  489,    19,    19,    19,   3 ,  M ,  1   
  13, 26.5,  81.7, 7G ,   75,   88,    0,    .26,   22,   15,    2,  143,    18,    19,    14,   3 ,  M ,  3   
  68, 27.4,  82.2, 7G ,   78,   88,   11,    .51,   10,    0,    0,  517,    17,    18,    35,   2 ,  L ,  0   
  23, 27.9,  82.7, 7G ,   80,   83,   10,    .18,   21,   28,    6,  503,    18,    18,    17,   3 ,  M ,  2   
 107, 27.9,  81.6, 7G ,   80,   87,    1,    .54,    2,    0,    0,  144,    20,    22,    35,   1 ,  L ,  0   
  18, 27.1,  82.3, 7G ,   75,   97,    2,    .87,    1,    0,    0,  102,    21,    22,    35,   1 ,  L ,  0   
   9, 26.1,  80.4, 7G ,   86,   73,    4,    .03,   17,   15,    2,  240,    18,    22,    13,   2 ,  L ,  5   
  10, 26.1,  81.3, 7G ,   87,   66,    8,    .00,   21,   31,    8,  252,    17,    22,    11,   3 ,  M , 15   
  26, 26.5,  81.1, 7G ,   86,   75,    6,    .02,   18,   19,    3,  495,    20,    21,    12,   3 ,  M ,  8   
   3, 25.6,  80.5, 7G ,   87,   66,    5,    .00,   27,   25,    4,  276,    13,    20,    11,   3 ,  M ,  8   
  12, 26.6,  80.4, 7G ,   86,   78,    4,    .02,   16,   15,    2,  449,    18,    22,    12,   2 ,  L ,  6   
  24, 26.9,  81.1, 7G ,   88,   73,    4,    .01,   25,   22,    3,  339,    16,    20,    11,   3 ,  M ,  8   
  76, 27.3,  81.3, 7G ,   84,   81,    3,    .00,   19,   15,    2,  181,    17,    21,    13,   3 ,  M ,  5   
  19, 27.6,  80.6, 7G ,   89,   59,   11,    .21,   25,   34,    8,  382,    17,    18,    12,   3 ,  M , 12   
  29, 27.0,  80.4, 7G ,   88,   68,    5,    .11,   18,   18,    3,  426,    19,    22,    12,   3 ,  M ,  8   
  51, 27.3,  80.8, 7G ,   86,   72,    5,    .32,   17,   17,    3,  129,    19,    22,    12,   2 ,  L ,  8   
  65, 28.0,  81.1, 7G ,   85,   79,    2,    .05,   19,   14,    2,  522,    19,    21,    12,   3 ,  M ,  6   
  20, 27.3,  80.4, 7G ,   88,   68,    5,    .11,   18,   18,    3,  410,    19,    22,    12,   3 ,  M ,  8   
1152, 34.6,  85.1, 7G ,   84,   63,    0,    .00,   30,   22,    2,  543,    14,    18,    12,   3 ,  M ,  6   
 765, 34.7,  84.7, 8E ,   89,   55,    4,    .01,   16,   28,    8,  508,    18,    20,    11,   3 ,  M , 13   
1724, 34.9,  84.6, 7G ,   75,   77,    2,    .36,   19,   17,    2,  454,    17,    20,    15,   3 ,  M ,  2   
2415, 34.7,  84.0, 7G ,   73,   76,    2,    .01,   15,   21,    5,   96,    18,    23,    16,   2 ,  L ,  3   
3280, 34.8,  83.7, 7G ,   78,   56,    0,    .02,   20,   25,    5,  126,    17,    22,    12,   3 ,  M ,  9   
2728, 34.9,  83.3, 7G ,   73,   75,    5,    .00,   16,   23,    5,  102,    17,    23,    15,   2 ,  L ,  4   
1270, 34.3,  84.0, 8C ,   88,   49,    1,    .00,   14,   19,    4,  397,    16,    19,    10,   4 ,  M ,  9   
2021, 34.6,  84.1, 7G ,   85,   44,    3,    .25,   28,   29,    5,  153,    15,    20,     8,   3 ,  M , 19   
1500, 34.6,  83.5, 7E ,   84,   53,    2,    .00,   16,   19,    4,  445,    17,    20,    11,   2 ,  L , 10   
 951, 33.8,  84.7, 8E ,   86,   59,    5,    .00,   15,   18,    3,  528,    17,    19,    12,   3 ,  M ,  6   
 785, 33.8,  83.4, 8C ,   88,   60,    2,    .00,    8,   21,    8,  481,    18,    20,    11,   5 ,  H , 10   
 873, 33.3,  84.8, 8C ,   88,   54,    1,    .00,   14,   15,    3,  580,    18,    18,    11,   3 ,  M ,  6   
 616, 33.7,  82.8, 8C ,   86,   64,    2,    .00,   10,   14,    3,  321,    18,    20,    12,   3 ,  M ,  6   
 481, 33.6,  83.2, 7G ,   87,   66,    5,    .00,   22,   20,    3,  571,    18,    20,    12,   3 ,  M ,  7   
 395, 33.0,  83.2, 8C ,   88,   58,    5,    .00,    9,   28,   15,  479,    17,    19,    11,   5 ,  H , 15   
 476, 33.2,  83.7, 7G ,   83,   79,    4,    .00,   17,   15,    2,  454,    18,    20,    16,   3 ,  M ,  2   
 477, 33.3,  82.2, 7G ,   89,   51,    3,    .00,   25,   24,    4,  423,    18,    19,    10,     ,    , 12   
 440, 33.0,  83.7, 8C ,   86,   66,    1,    .00,    9,   12,    2,  402,    18,    20,    13,   3 ,  M ,  4   
 311, 32.9,  82.3, 8C ,   87,   62,    4,    .79,    9,   12,    2,  302,    19,    21,    13,   3 ,  M ,  4   
 456, 32.1,  84.1, 8C ,   88,   51,    4,    .00,   14,   22,    5,  464,    17,    19,    10,   5 ,  H , 10   
 322, 32.1,  83.9, 8C ,   88,   53,    4,    .00,   14,   22,    6,  483,    17,    19,    10,   5 ,  H , 10   
 201, 32.0,  82.8, 8C ,   91,   48,    4,    .05,   18,   26,    6,  665,    17,    18,     9,   5 ,  H , 14   
 198, 32.3,  82.0, 8C ,   88,   54,    2,    .18,   15,   17,    3,  665,    17,    18,    11,   3 ,  M ,  7   
 155, 32.0,  81.8, 7G ,   90,   55,    1,    .03,   27,   18,    2,  389,    16,    18,    11,   3 ,  M ,  6   
  15, 31.7,  81.4, 8D ,   89,   59,    1,    .05,   55,   48,    7,  537,    18,    19,    11,   5 ,  H ,  7   
 195, 31.7,  82.3, 8D ,   86,   62,    3,   1.01,    4,    0,    0,  379,    19,    19,    35,   1 ,  L ,  0   
  96, 31.9,  81.7, 7G ,   90,   55,    2,    .24,   22,   17,    2,  638,    18,    20,    11,   3 ,  M ,  8   
  91, 31.9,  81.5, 7G ,   91,   53,    2,    .39,   27,   20,    2,  535,    17,    18,    10,   3 ,  M ,  9   
  71, 32.1,  81.6, 7G ,   91,   55,    1,   1.42,   26,   17,    2,  465,    17,    19,    11,   3 ,  M ,  6   
  20, 31.9,  81.3, 7G ,   88,   61,    1,    .05,   22,   14,    1,  481,    18,    20,    12,   2 ,  L ,  5   
 160, 31.2,  84.2, 8C ,   89,   54,    2,    .96,   13,   15,    3,  562,    18,    18,    11,   3 ,  M ,  6   
